[2025-06-24 09:35:28,568] [INFO] Registered tool: get_resources
[2025-06-24 09:35:28,569] [INFO] Registered tool: delete_resources
[2025-06-24 09:35:28,569] [INFO] Registered tool: describe_resources
[2025-06-24 09:35:28,569] [INFO] Registered tool: api_resources
[2025-06-24 09:35:28,569] [INFO] Registered tool: get_resources_logs
[2025-06-24 09:35:28,569] [INFO] Total registered tools: 5
[2025-06-24 09:42:10,232] [INFO] Closing Libvirt Server...
[2025-06-24 09:42:11,619] [INFO] MCP 'Kubernetes Resources Manager Server' initialized on 0.0.0.0:8000
[2025-06-24 09:42:11,625] [INFO] Registered tool: get_resources
[2025-06-24 09:42:11,625] [INFO] Registered tool: delete_resources
[2025-06-24 09:42:11,626] [INFO] Registered tool: describe_resources
[2025-06-24 09:42:11,626] [INFO] Registered tool: api_resources
[2025-06-24 09:42:11,626] [INFO] Registered tool: get_resources_logs
[2025-06-24 09:42:11,626] [INFO] Total registered tools: 5
[2025-06-24 14:40:21,103] [INFO] Closing Libvirt Server...
[2025-06-24 14:40:22,108] [INFO] MCP 'Kubernetes Resources Manager Server' initialized on 0.0.0.0:8000
[2025-06-24 14:40:22,116] [INFO] Registered tool: get_resources
[2025-06-24 14:40:22,116] [INFO] Registered tool: delete_resources
[2025-06-24 14:40:22,116] [INFO] Registered tool: describe_resources
[2025-06-24 14:40:22,116] [INFO] Registered tool: get_api_resources
[2025-06-24 14:40:22,117] [INFO] Registered tool: get_resources_logs
[2025-06-24 14:40:22,117] [INFO] Registered tool: patch_resource
[2025-06-24 14:40:22,117] [INFO] Total registered tools: 6
[2025-06-24 23:27:00,704] [INFO] Closing Libvirt Server...
[2025-06-24 23:27:02,391] [INFO] MCP 'Kubernetes Resources Manager Server' initialized on 0.0.0.0:8000
[2025-06-24 23:27:02,405] [INFO] Registered tool: get_resources
[2025-06-24 23:27:02,405] [INFO] Registered tool: delete_resources
[2025-06-24 23:27:02,406] [INFO] Registered tool: describe_resources
[2025-06-24 23:27:02,406] [INFO] Registered tool: get_api_resources
[2025-06-24 23:27:02,406] [INFO] Registered tool: get_resources_logs
[2025-06-24 23:27:02,406] [INFO] Registered tool: patch_resource
[2025-06-24 23:27:02,406] [INFO] Registered tool: port_forward
[2025-06-24 23:27:02,406] [INFO] Registered tool: create_resource
[2025-06-24 23:27:02,406] [INFO] Total registered tools: 8
[2025-06-24 23:32:07,401] [INFO] Closing Libvirt Server...
